Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
melanoma	18/71	0.6961823541685862	0.9999999999717443	6.0251407187032635	-0.00000000017024475591878454	MAP2K1;MAP2K2;PTEN;PDGFA;PIK3R2;PIK3CB;PIK3R1;FGF1;FGF14;CCND1;FGF9;AKT3;MDM2;MAPK1;KRAS;FGF13;HRAS;MAPK3
b cell receptor signaling pathway	16/62	0.6666973665947505	0.9999999999717443	6.27596069294061	-0.00000000017733185766249004	GSK3B;NFAT5;JUN;CD81;PIK3R2;BCL10;PIK3CB;PIK3R1;LILRB3;NFKBIA;PPP3CA;PPP3CB;AKT3;KRAS;RAC1;HRAS
tryptophan metabolism	15/57	0.6387848285574219	0.9999999999717443	6.428951753626245	-0.00000000018165473193218632	ECHS1;WARS;MAOB;PRMT2;MAOA;HSD17B4;ACAT1;ALDH2;AFMID;CAT;LNX1;WBSCR22;ALDH7A1;LCMT1;ALDH9A1
acute myeloid leukemia	14/52	0.6079690453545595	0.9999999999717443	6.597028599411817	-0.0000000001864038660889272	TCF7L2;MAP2K1;MAP2K2;STAT3;PIK3CB;CCND1;AKT3;MAPK1;GRB2;KRAS;HRAS;MAPK3;PPARD;RUNX1T1
glycan structures biosynthesis 1	24/106	0.8624359614127401	0.9999999999717443	6.728625674140855	-0.00000000019012223764452016	GALNT11;ALG8;RPN2;RPN1;B3GALT6;HS6ST1;DDOST;HS6ST3;EXTL2;GANAB;WBSCR17;CHSY1;DAD1;MAN1A2;MGAT5;MGAT4B;MAN1C1;MGAT3;CHST1;B3GNT1;OGT;CHST2;GALNT9;B4GALT5
lysine degradation	13/47	0.5738307543354623	0.9999999999717443	6.936856929789909	-0.00000000019600596400838588	ECHS1;SHMT2;SETD7;HSD17B4;ACAT1;SPCS3;SPCS1;ALDH2;RDH11;NSD1;ALDH7A1;AASDHPPT;ALDH9A1
natural killer cell mediated cytotoxicity	28/129	0.9174175749374408	0.9999999999717443	7.176842505225891	-0.00000000020278693189305314	NFAT5;SHC3;ITGB2;PIK3R2;PIK3CB;PIK3R1;PPP3CA;PAK1;PPP3CB;MAPK1;FYN;PLCG1;RAC1;HRAS;MAPK3;MAP2K1;MAP2K2;IFNGR1;IFNGR2;HLA-B;HLA-C;PRKCA;PTPN11;HLA-A;HLA-G;HLA-E;GRB2;KRAS
jak stat signaling pathway	30/148	0.9649988873216578	0.9999999999717443	7.597777256803861	-0.00000000021468075103949604	PIK3R2;PIK3CB;PIK3R1;CSF2RA;CCND3;SPRED1;CCND2;CCND1;AKT3;SOCS7;JAK1;IL10;PIAS4;CREBBP;IFNGR1;IL11RA;STAT1;IFNGR2;STAT2;STAT3;LIFR;PTPN11;TYK2;PIAS2;PIAS1;LEP;SPRY2;GRB2;IL6ST;BCL2L1
toll like receptor signaling pathway	19/99	0.9567839882918044	0.9999999999717443	7.831563825860196	-0.00000000022128656146688335	MAP2K4;JUN;MAP2K1;MAP2K2;STAT1;PIK3R2;PIK3CB;PIK3R1;MAPK10;NFKBIA;MAPK11;MAPK9;MAPK8;TOLLIP;AKT3;SPP1;MAPK1;RAC1;MAPK3
neuroactive ligand receptor interaction	30/238	0.999999135497056	0.9999999999717443	8.284781042881882	-0.00000000023409254527578163	CHRM2;GABRB3;GRIA1;CHRM3;GABRB2;GRIA2;ADCYAP1R1;GABRB1;CHRM1;THRB;THRA;GRIK5;GRIK2;HTR2A;NR3C1;MCHR1;GRM3;GRIN2A;GRM5;ADORA1;GRIA3;GABRA2;GABBR2;GABRA1;GABBR1;F2R;GRIN2C;SSTR2;GABRG2;LEP
cell communication	13/137	0.9999968087568795	0.9999999999717443	8.392585318534506	-0.00000000023713863389882583	KRT10;ACTB;ACTG1;GJC1;GJA1;GJC2;KRT18;GJB6;SPP1;GJB7;TNR;VIM;INA
cytokine cytokine receptor interaction	18/247	0.9999999999717444	0.9999999999717443	8.541350249093332	-0.0000000002413420957721135	IL10;BMPR2;XCR1;TNFSF14;IFNGR1;IL11RA;TNFSF15;IFNGR2;TNFRSF9;IL18;LIFR;ACVR1B;CSF2RA;CXCL14;KITLG;LEP;CCR6;IL6ST
starch and sucrose metabolism	15/83	0.9630782956996035	0.9999999999717443	8.61575006011658	-0.0000000002434443168254307	DDX18;GPI;PYGB;DDX47;AGL;SMARCA5;DDX51;DDX41;SMARCA2;HK1;DDX19A;UGP2;RUVBL2;GUSB;PGM1
bladder cancer	11/40	0.5829565237934388	0.9999999999717443	8.766687101029861	-0.0000000002477091532647886	MAP2K1;MAP2K2;CCND1;DAPK1;MDM2;MAPK1;KRAS;FGFR3;HRAS;PGF;MAPK3
ecm receptor interaction	9/87	0.99969378815555	0.9999999999717443	8.80000659735337	-0.00000000024865061999291405	ITGB1;SV2B;SV2A;SDC3;DAG1;SPP1;TNR;ITGAV;CD47
hematopoietic cell lineage	6/88	0.9999923208938648	0.9999999999717443	8.843329608147911	-0.00000000024987474333587404	KITLG;TFRC;IL11RA;CD9;CD59;CSF2RA
glycine serine and threonine metabolism	11/44	0.6899801595043243	0.9999999999717443	8.992009305875243	-0.0000000002540757968931951	GATM;CHKB;MAOB;MAOA;PSAT1;RDH11;SHMT2;SARS;GARS;PHGDH;DLD
folate biosynthesis	11/41	0.6112389536119787	0.9999999999717443	8.99692055615796	-0.00000000025421456786049247	DHFR;QDPR;DDX18;DDX19A;ALPP;DDX47;RUVBL2;SMARCA5;DDX51;DDX41;SMARCA2
tyrosine metabolism	12/53	0.7968797782308118	0.9999999999717443	9.008356964506245	-0.00000000025453771193940127	SH3GLB1;ADH4;GOT1;MAOB;PRMT2;MAOA;GOT2;WBSCR22;MIF;COMT;LCMT1;ADH5
n glycan biosynthesis	11/41	0.6112389536119787	0.9999999999717443	9.23854149978613	-0.00000000026104174426902905	ALG8;GANAB;RPN2;DAD1;MAN1A2;MGAT5;MGAT4B;RPN1;MAN1C1;MGAT3;DDOST
type i diabetes mellitus	11/44	0.6899801595043243	0.9999999999717443	9.326099446332497	-0.0000000002635157580613151	PTPRN2;GAD1;HLA-B;CPE;GAD2;HLA-C;HLA-A;HLA-G;HLA-DPA1;HLA-E;HSPD1
metabolism of xenobiotics by cytochrome p450	11/70	0.9806046808333936	0.9999999999717443	10.007866114764722	-0.0000000002827795737097216	ADH4;GSTM3;GSTM2;CYP2B6;GSTA4;AKR1C1;GSTP1;MGST3;EPHX1;MGST1;ADH5
hedgehog signaling pathway	10/57	0.9451219301403918	0.9999999999717443	10.482728069299608	-0.00000000029619714540127666	GSK3B;CSNK1A1;FBXW11;STK36;BMP8B;CSNK1D;CSNK1E;BTRC;PRKACB;CSNK1G2
notch signaling pathway	10/43	0.7579395159923522	0.9999999999717443	10.549124461801052	-0.000000000298073224013052	NCOR2;ADAM17;CREBBP;NUMBL;SNW1;CTBP2;CTBP1;DTX3;DTX4;RBPJ
complement and coagulation cascades	4/69	0.9999800854014634	0.9999999999717443	10.747398748432525	-0.0000000003036756089378993	F2R;CD59;A2M;F3
glycan structures biosynthesis 2	8/60	0.9902371076864667	0.9999999999717443	11.821542918074647	-0.00000000033402633774571793	UGCG;FUT9;ST3GAL5;B3GNT1;B4GALNT1;B4GALT6;PIGG;PIGX
sphingolipid metabolism	9/36	0.6827303512228053	0.9999999999717443	11.866425677298096	-0.0000000003352945329208511	UGCG;ASAH1;SPTLC1;CERK;SPHK2;PPAP2B;PPAP2A;DEGS1;B4GALT6
basal cell carcinoma	6/55	0.9962129943281112	0.9999999999717443	12.019777295468518	-0.00000000033962759500587953	GSK3B;TCF7L2;FZD3;APC;STK36;CTNNB1
androgen and estrogen metabolism	7/54	0.9890207151131093	0.9999999999717443	12.117064358211588	-0.00000000034237651208914956	PRMT2;SRD5A1;AKR1D1;WBSCR22;HSD17B12;HSD17B7;LCMT1
taste transduction	8/49	0.9533686807517774	0.9999999999717443	12.173163671264996	-0.0000000003439616391930431	GNG3;KCNB1;PDE1A;GNB1;CACNA1B;GNAS;CACNA1A;PRKACB
arachidonic acid metabolism	7/51	0.9825969710401168	0.9999999999717443	12.575401900859179	-0.0000000003553271744420196	CBR1;PLA2G12A;PLA2G2D;CYP2B6;GPX1;GPX4;PTGDS
abc transporters general	8/44	0.911713887666622	0.9999999999717443	12.67969515624416	-0.00000000035827405662053457	ABCA2;ABCD3;ABCC8;ABCA3;ABCC5;ABCB9;ABCC10;ABCG1
porphyrin and chlorophyll metabolism	7/41	0.9278584703221741	0.9999999999717443	13.788709670081762	-0.00000000038961007249690844	COX15;UROD;FTH1;BLVRB;EPRS;GUSB;BLVRA
aminosugars metabolism	7/29	0.7062376021540098	0.9999999999717443	13.824097608179416	-0.00000000039060998455957657	MTMR1;CMAS;CYB5R3;GNPDA1;PHPT1;HK1;LHPP
limonene and pinene degradation	6/24	0.6732264292646165	0.9999999999717443	14.06067773619095	-0.00000000039729472903758214	SH3GLB1;DHRS7;ECHS1;ALDH2;ALDH7A1;ALDH9A1
galactose metabolism	7/32	0.7852064541423942	0.9999999999717443	14.64515651235389	-0.0000000004138096041638489	UGP2;RDH11;AKR1B1;PFKM;PFKP;PGM1;HK1
basal transcription factors	7/33	0.8076785286406082	0.9999999999717443	15.494693496825088	-0.0000000004378138927469057	GTF2A1;TAF13;TAF10;TAF7;GTF2H1;TAF6;GTF2I
selenoamino acid metabolism	6/26	0.7360341095319246	0.9999999999717443	16.12481904221695	-0.00000000045561855070956926	PRMT2;MARS;WBSCR22;MAT2B;LCMT1;PAPSS1
regulation of autophagy	6/29	0.8132674723710985	0.9999999999717443	16.165343379076603	-0.00000000045676359547442036	ATG3;GABARAPL1;ULK2;PIK3C3;ATG12;GABARAP
benzoate degradation via coa ligation	5/21	0.7066036560613663	0.9999999999717443	16.69967206292102	-0.0000000004718614430780654	SH3GLB1;DHRS7;ECHS1;ACYP2;ACAT1
linoleic acid metabolism	3/31	0.9882606886343842	0.9999999999717443	18.32630164159351	-0.0000000005178230510338333	PLA2G12A;PLA2G2D;RDH11
dna polymerase	5/24	0.7964624866134399	0.9999999999717443	18.591814010060393	-0.0000000005253252971179366	POLB;POLE4;RFC5;PRIM2;POLD2
o glycan biosynthesis	5/27	0.8631534028181777	0.9999999999717443	18.86721243837233	-0.0000000005331068810505478	GALNT11;WBSCR17;OGT;GALNT9;B4GALT5
pentose and glucuronate interconversions	5/25	0.821109698092644	0.9999999999717443	19.203268774190494	-0.0000000005426023985060534	UGP2;DCXR;RPE;AKR1B1;GUSB
gamma hexachlorocyclohexane degradation	5/23	0.7692221230759999	0.9999999999717443	19.23844129857929	-0.0000000005435962238968912	DHRS7;ALPP;PON2;CMBL;ACP1
glycan structures degradation	4/29	0.9521374691599758	0.9999999999717443	19.458273251820533	-0.0000000005498077364523622	MAN2B2;IDS;GUSB;GNS
glycosylphosphatidylinositol anchor biosynthesis	5/23	0.7692221230759999	0.9999999999717443	20.638138102706627	-0.0000000005831456803999165	PGAP1;GPAA1;PIGG;PIGW;PIGX
aminophosphonate metabolism	4/16	0.6704436000169323	0.9999999999717443	20.84459499865221	-0.0000000005889792709331464	PRMT2;WBSCR22;CHPT1;LCMT1
1 and 2 methylnaphthalene degradation	4/20	0.8065002959793232	0.9999999999717443	20.873148197168835	-0.0000000005897860624321522	SH3GLB1;ADH4;DHRS7;ADH5
naphthalene and anthracene degradation	4/18	0.7453430957389678	0.9999999999717443	21.031555212702802	-0.0000000005942619684656311	DHRS7;PRMT2;WBSCR22;LCMT1
pantothenate and coa biosynthesis	4/16	0.6704436000169323	0.9999999999717443	21.39913280546866	-0.0000000006046481420810261	PANK3;PPCS;BCAT1;PPCDC
methionine metabolism	4/17	0.7096541430377566	0.9999999999717443	21.73623343039287	-0.0000000006141731666886909	MTFMT;MARS;AMD1;MAT2B
ubiquinone biosynthesis	4/15	0.6277254542508556	0.9999999999717443	22.470422415795056	-0.0000000006349182132284431	NDUFA13;NDUFA12;NDUFB11;ND2
heparan sulfate biosynthesis	3/19	0.891816909183133	0.9999999999717443	25.21141991301201	-0.0000000007123671014243905	EXTL2;HS6ST1;HS6ST3
glycosphingolipid biosynthesis neo lactoseries	2/21	0.975376256049903	0.9999999999717443	26.62429732433014	-0.0000000007522889856197837	FUT9;B3GNT1
glycosaminoglycan degradation	3/17	0.8486733410092364	0.9999999999717443	26.829135196172825	-0.0000000007580768294433362	IDS;GUSB;GNS
nicotinate and nicotinamide metabolism	2/20	0.9696002643276386	0.9999999999717443	26.87712632729109	-0.0000000007594328539388527	NNT;NMNAT2
streptomycin biosynthesis	3/10	0.5691691402669102	0.9999999999717443	27.63748002505349	-0.0000000007809172035550662	IMPA1;PGM1;HK1
caprolactam degradation	3/14	0.7563314791094592	0.9999999999717443	27.849501224004484	-0.0000000007869080175377126	ECHS1;HSD17B4;SIRT2
keratan sulfate biosynthesis	3/16	0.82193887986762	0.9999999999717443	27.893238426952028	-0.000000000788143844182767	CHST1;B3GNT1;CHST2
bisphenol a degradation	3/14	0.7563314791094592	0.9999999999717443	27.916873753752395	-0.0000000007888116776210298	DHRS7;RDH11;PON2
sulfur metabolism	3/14	0.7563314791094592	0.9999999999717443	28.318460768135303	-0.0000000008001588123081157	SULT1A1;SUOX;PAPSS1
chondroitin sulfate biosynthesis	3/17	0.8486733410092364	0.9999999999717443	28.725832671744236	-0.0000000008116694032695496	CHSY1;B3GAT1;B3GALT6
renin angiotensin system	2/17	0.9433704070539156	0.9999999999717443	29.45423861617668	-0.0000000008322510457587864	NLN;AGT
alpha linolenic acid metabolism	2/15	0.9151087477981884	0.9999999999717443	30.084534103040937	-0.0000000008500605055419947	PLA2G12A;PLA2G2D
glycosphingolipid biosynthesis ganglioseries	2/16	0.9305881410277623	0.9999999999717443	30.34156166316926	-0.0000000008573230071633451	ST3GAL5;B4GALNT1
ethylbenzene degradation	2/10	0.7772914569248697	0.9999999999717443	34.57945989467559	-0.0000000009770679199737336	SH3GLB1;DHRS7
n glycan degradation	1/15	0.9812477410504318	0.9999999999717443	36.21756373184614	-0.0000000010233537414920641	MAN2B2
circadian rhythm	2/11	0.8151318781317332	0.9999999999717443	39.93761617665054	-0.0000000011284665430080272	CSNK1D;CSNK1E
c21 steroid hormone metabolism	1/11	0.9492547555561768	0.9999999999717443	40.242800876741484	-0.0000000011370897598261585	AKR1D1
glycosphingolipid biosynthesis globoseries	1/14	0.975946574048225	0.9999999999717443	41.252440157995984	-0.000000001165617855853795	FUT9
phenylpropanoid biosynthesis	1/7	0.8628066172942529	0.9999999999717443	47.26379823479233	-0.000000001335473173149167	PRDX6
tetrachloroethene degradation	1/7	0.8628066172942529	0.9999999999717443	50.64170332084885	-0.0000000014309183509036675	RDH11
atrazine degradation	1/9	0.9165522364484563	0.9999999999717443	53.12502385151389	-0.0000000015010863880249924	ADAR
nucleotide sugars metabolism	1/6	0.8241045557631035	0.9999999999717443	71.19905323296864	-0.000000002011781301915226	UGP2
